M188-3 | mandant | lage  | paar | endpunkt_best_ms | endpunkt_laeufe_ms | dienst_best_ms | dienst_laeufe_ms | bezug_best_ms | bezug_laeufe_ms | zuschlag_ms | nachrichten | fehler | rumpf_bytes
M188-3 | NEXANS  | anker | 48H  |          121.669 | 124.1/142.3/121.7/128.0/122.8 |         94.555 | 95.8/99.6/99.5/96.1/94.6 |        71.291 | 77.8/77.6/71.7/73.4/71.3 |      23.264 |        9950 |     50 | 10542
M188-3 | NEXANS  | anker | 30T  |          276.005 | 281.4/278.6/281.7/277.2/276.0 |        251.221 | 252.9/256.0/255.1/254.3/251.2 |       222.173 | 225.7/228.2/223.6/222.2/224.9 |      29.048 |      176050 |     55 | 10553
M188-3 | NEXANS  | anker | 12M  |          356.035 | 361.6/357.6/359.9/356.0/362.2 |        333.238 | 337.7/334.1/336.6/333.2/334.6 |       295.432 | 303.2/296.7/295.4/296.3/298.2 |      37.806 |     2308005 |    711 | 7020
M188-3 | NEXANS  | dicht | 48H  |          398.984 | 401.0/402.0/409.1/429.9/399.0 |        376.186 | 376.2/450.9/376.2/464.5/376.9 |       350.556 | 363.4/350.6/370.5/356.3/364.8 |      25.629 |       33148 |     15 | 13187
M188-3 | NEXANS  | dicht | 30T  |          403.609 | 410.4/406.0/406.7/404.5/403.6 |        384.466 | 391.0/384.5/391.7/388.6/394.9 |       359.621 | 359.6/366.7/363.0/375.6/363.9 |      24.846 |       79033 |     41 | 5143
M188-3 | NEXANS  | dicht | 12M  |          384.746 | 385.7/384.7/461.4/391.5/391.2 |        373.282 | 378.2/376.0/374.1/373.3/374.2 |       327.359 | 330.6/338.1/332.7/339.1/327.4 |      45.923 |      222049 |   2163 | 3198
M188-3 | SUTTONS | anker | 48H  |           95.649 | 106.5/97.2/95.6/96.9/96.2 |         78.009 | 78.4/78.0/78.9/79.5/80.1 |        57.402 | 58.1/62.2/57.4/59.3/58.2 |      20.607 |        1337 |      0 | 7016
M188-3 | SUTTONS | anker | 30T  |          206.069 | 214.0/222.7/221.7/206.1/213.6 |        189.359 | 198.4/192.3/190.5/189.4/191.8 |       162.217 | 167.6/164.2/163.1/162.2/162.6 |      27.142 |       20964 |      5 | 6876
M188-3 | SUTTONS | anker | 12M  |          254.620 | 255.5/255.1/307.5/256.9/254.6 |        236.855 | 238.8/239.1/238.6/236.9/240.8 |       205.386 | 205.6/207.2/205.5/205.4/211.0 |      31.469 |      196536 |    103 | 4678
