M189 | tor | mandant | art     | lage     | fenster_von      | fenster_bis      | endpunkt_best_ms | endpunkt_laeufe_ms | dienst_best_ms | dienst_laeufe_ms | bezug_best_ms | bezug_laeufe_ms | zuschlag_ms | nachrichten | fehler | rumpf_bytes
M189 | 2   | NEXANS  | typisch | 48H      | 2025-11-07T17:00 | 2025-11-09T17:00 |           91.338 | 98.9/93.3/91.3/93.3/170.9 |         61.549 | 65.2/64.7/63.0/61.6/61.5 |        44.142 | 48.4/47.0/45.9/45.5/44.1 |      17.408 |       16464 |      0 | 203346
M189 | 2   | NEXANS  | typisch | 12M      | 2024-12-01T00:00 | 2025-12-01T00:00 |          167.246 | 170.0/173.0/191.7/167.2/167.5 |        138.989 | 142.4/142.7/144.9/140.4/139.0 |       110.534 | 111.0/110.6/111.7/112.4/110.5 |      28.455 |     2282520 |    656 | 205220
M189 | 3   | NEXANS  | dicht   | 48H      | 2024-10-07T22:00 | 2024-10-09T22:00 |          345.357 | 345.4/363.2/362.5/384.0/363.7 |        343.978 | 345.1/348.6/344.0/345.0/350.7 |       301.782 | 302.2/306.2/305.7/302.6/301.8 |      42.196 |       33148 |     15 | 203565
M189 | 3   | NEXANS  | dicht   | 12M      | 2023-11-01T00:00 | 2024-11-01T00:00 |          346.653 | 377.3/352.5/346.7/350.8/348.4 |        348.388 | 354.5/356.5/350.4/348.4/349.7 |       305.669 | 324.0/312.7/318.6/305.7/305.7 |      42.719 |      222049 |   2163 | 204284
M189 | 4   | NEXANS  | frei    | jahr     | 2025-01-01T00:00 | 2026-01-01T00:00 |          158.189 | 160.8/160.5/158.6/158.5/158.2 |        138.767 | 140.0/138.8/139.4/141.4/140.4 |       109.651 | 112.3/109.7/110.0/111.1/111.7 |      29.116 |     2308005 |    711 | 205223
M189 | 4   | NEXANS  | frei    | boesfall | 2024-12-30T14:00 | 2025-12-30T03:00 |          151.351 | 153.7/153.8/179.5/151.4/157.3 |        131.398 | 132.1/131.4/134.0/132.8/133.3 |       102.393 | 105.3/106.4/102.4/103.4/108.4 |      29.005 |     2309634 |    662 | 205222
M189 | 2   | SUTTONS | typisch | 48H      | 2025-06-07T21:00 | 2025-06-09T21:00 |           58.883 | 59.7/60.4/61.4/58.9/59.1 |         44.804 | 46.6/45.5/44.8/45.4/47.8 |        25.314 | 25.3/27.8/26.4/29.1/25.7 |      19.490 |        1360 |      1 | 4019
M189 | 2   | SUTTONS | typisch | 12M      | 2024-07-01T00:00 | 2025-07-01T00:00 |           83.731 | 87.5/83.7/89.6/86.3/85.4 |         71.549 | 71.7/71.7/72.0/75.5/71.5 |        46.242 | 46.2/48.0/47.9/46.8/48.8 |      25.307 |       67686 |     37 | 4053
M189 | 3   | SUTTONS | dicht   | 48H      | 2025-06-10T11:00 | 2025-06-12T11:00 |           85.685 | 85.7/119.5/90.6/89.3/88.3 |         72.705 | 76.1/75.9/73.1/72.7/76.7 |        49.500 | 49.8/52.0/50.3/52.0/49.5 |      23.205 |        1410 |      1 | 4023
M189 | 3   | SUTTONS | dicht   | 12M      | 2024-07-01T00:00 | 2025-07-01T00:00 |           95.099 | 97.4/109.4/95.1/98.9/105.2 |         83.961 | 87.3/86.8/84.0/87.0/85.9 |        57.397 | 57.8/57.4/58.2/58.5/60.1 |      26.564 |       67686 |     37 | 4053
M189 | 4   | SUTTONS | frei    | jahr     | 2025-01-01T00:00 | 2026-01-01T00:00 |           87.124 | 91.0/92.7/93.0/87.1/88.7 |         73.626 | 73.6/74.3/75.6/76.9/75.1 |        49.807 | 51.7/54.8/50.8/49.8/51.7 |      23.819 |      196536 |    103 | 4072
M189 | 4   | SUTTONS | frei    | boesfall | 2024-12-30T14:00 | 2025-12-30T03:00 |           79.679 | 90.3/83.2/79.7/81.6/85.5 |         67.559 | 70.0/67.6/67.6/72.5/68.5 |        43.465 | 43.7/43.5/45.2/45.9/44.5 |      24.094 |      196508 |    103 | 4072
